sync_index,port,frame_index,frame_time
244,3,244,18072.500779200003
244,2,244,18072.5035904
244,0,244,18072.5007447
244,1,243,18072.5119977
244,4,243,18072.500852700003
245,3,245,18072.66814825
245,2,245,18072.668119100003
245,0,245,18072.66793495
245,1,244,18072.667893949998
245,4,244,18072.671271500003
246,3,246,18072.83487295
246,2,246,18072.8348858
246,0,246,18072.83480075
246,1,245,18072.835688699997
246,4,245,18072.834727449997
247,3,247,18073.002668449997
247,2,247,18073.00251645
247,0,247,18073.0007499
247,1,246,18073.0007057
247,4,246,18073.0117562
248,3,248,18073.1679013
248,2,248,18073.1680176
248,0,248,18073.1677906
248,1,247,18073.16851555
248,4,247,18073.16775355
249,3,249,18073.3337217
249,2,249,18073.3347089
249,0,249,18073.3337476
249,1,248,18073.3348111
249,4,248,18073.33519315
250,3,250,18073.5007486
250,2,250,18073.5017458
250,0,250,18073.501228
250,1,249,18073.50081115
250,4,249,18073.50223505
251,3,251,18073.6684608
251,2,251,18073.6679819
251,0,251,18073.66783945
251,1,250,18073.667934099998
251,4,250,18073.668109849998
252,3,252,18073.83488025
252,2,252,18073.83583325
252,0,252,18073.834783799997
252,1,251,18073.8353537
252,4,251,18073.834326800003
253,3,253,18074.0008946
253,2,253,18074.0017844
253,0,253,18074.0027053
253,1,252,18074.0111885
253,4,252,18074.0008166
254,3,254,18074.1678132
254,2,254,18074.16853255
254,0,254,18074.1711052
254,1,253,18074.168018149998
254,4,253,18074.1678724
255,3,255,18074.335225299998
255,2,255,18074.3348775
255,0,255,18074.334763749997
255,1,254,18074.334997899998
255,4,254,18074.3348334
256,3,256,18074.501845450002
256,2,256,18074.5008416
256,0,256,18074.50094285
256,1,255,18074.508062599998
256,4,255,18074.50234295
257,3,257,18074.669060400003
257,2,257,18074.66854575
257,0,257,18074.66807555
257,1,256,18074.667874849998
257,4,256,18074.667926349997
258,3,258,18074.8353804
258,2,258,18074.83508465
258,0,258,18074.835127
258,1,257,18074.8349194
258,4,257,18074.83475185
259,3,259,18075.0008257
259,2,259,18075.00267725
259,0,259,18075.0050882
259,1,258,18075.00076355
259,4,258,18075.0008589
260,3,260,18075.1678235
260,2,260,18075.169410299997
260,0,260,18075.167841000002
260,1,259,18075.16809985
260,4,259,18075.16775125
261,3,261,18075.337334249998
261,2,261,18075.3400455
261,0,261,18075.33466105
261,1,260,18075.33370145
261,4,260,18075.33612985
262,3,262,18075.5031019
262,2,262,18075.50099005
262,0,262,18075.50101305
262,1,261,18075.5008419
262,4,261,18075.5009256
263,3,263,18075.6680958
263,2,263,18075.6686399
263,0,263,18075.6679306
263,1,262,18075.6668519
263,4,262,18075.6679772
