sync_index,port,frame_index,frame_time
0,2,0,88752.6851002
0,3,0,88752.6679575
0,1,0,88752.68276105
0,0,0,88752.69527170001
0,4,0,88752.7470776
1,2,1,88753.0160114
1,3,1,88753.001383
1,1,1,88753.00126774999
1,0,1,88753.0012001
1,4,1,88753.07635145
2,2,2,88753.3342629
2,3,2,88753.3340497
2,1,2,88753.33822594999
2,0,2,88753.33493874999
2,4,2,88753.33424165001
3,2,3,88753.66764115001
3,3,3,88753.66759015
3,1,3,88753.6687302
3,0,3,88753.6679036
3,4,3,88753.66784565
4,2,4,88754.00349365
4,3,4,88754.00336485001
4,1,4,88754.00040215
4,0,4,88754.00264025
4,4,4,88754.0026853
5,2,5,88754.3347723
5,3,5,88754.33442825
5,1,5,88754.33492765
5,0,5,88754.33517515
5,4,5,88754.3342602
6,2,6,88754.66792965
6,3,6,88754.67520299999
6,1,6,88754.66810735001
6,0,6,88754.6682052
6,4,6,88754.6680589
7,2,7,88755.00089525
7,3,7,88755.00400545
7,1,7,88755.01121615
7,0,7,88755.00100774999
7,4,7,88755.0008427
8,2,8,88755.3374305
8,3,8,88755.3370187
8,1,8,88755.33520870001
8,0,8,88755.33739575
8,4,8,88755.33382545001
9,2,9,88755.6708501
9,3,9,88755.66821775
9,1,9,88755.67033445
9,0,9,88755.6689593
9,4,9,88755.66707315
10,2,10,88756.00565564999
10,3,10,88756.00104665
10,1,10,88756.00318259999
10,0,10,88756.00073015
10,4,10,88756.00092205
11,2,11,88756.3361353
11,3,11,88756.33619375
11,1,11,88756.33395435
11,0,11,88756.3352972
11,4,11,88756.3361028
12,2,12,88756.66790485001
12,3,12,88756.66781089999
12,1,12,88756.6680201
12,0,12,88756.66923915001
12,4,12,88756.66762175
13,2,13,88757.00075995
13,3,13,88757.0004092
13,1,13,88757.0018987
13,0,13,88757.00056235
13,4,13,88757.00136940001
14,2,14,88757.3432895
14,3,14,88757.33718895
14,1,14,88757.33503645001
14,0,14,88757.35346315001
14,4,14,88757.3338408
15,2,15,88757.6679474
15,3,15,88757.6686734
15,1,15,88757.6676926
15,0,15,88757.667968
15,4,15,88757.66800465
16,2,16,88758.0012122
16,3,16,88758.00121305001
16,1,16,88758.0014434
16,0,16,88758.00149605
16,4,16,88758.0077178
17,2,17,88758.33632120001
17,3,17,88758.334771
17,1,17,88758.34652384999
17,0,17,88758.33435555
17,4,17,88758.33530780001
18,2,18,88758.66850905
18,3,18,88758.67270855
18,1,18,88758.66789075
18,0,18,88758.67193285
18,4,18,88758.666834
19,2,19,88759.00190455001
19,3,19,88759.0015553
19,1,19,88759.00176195
19,0,19,88759.00153050001
19,4,19,88759.00178645
20,2,20,88759.33511044999
20,3,20,88759.33376914999
20,1,20,88759.3339732
20,0,20,88759.33493494999
20,4,20,88759.33405695
21,2,21,88759.6683544
21,3,21,88759.66844149999
21,1,21,88759.66849795
21,0,21,88759.67323
21,4,21,88759.6680712
22,2,22,88760.00100419999
22,3,22,88760.00093040001
22,1,22,88760.01045195
22,0,22,88760.0008812
22,4,22,88760.00103700001
23,2,23,88760.3475681
23,3,23,88760.34112765
23,1,23,88760.33506055
23,0,23,88760.33551954999
23,4,23,88760.33442644999
24,2,24,88760.66820310001
24,3,24,88760.67139944999
24,1,24,88760.66807905
24,0,24,88760.6678985
24,4,24,88760.6682427
25,2,25,88761.00341885
25,3,25,88761.00325405001
25,1,25,88761.00392465
25,0,25,88761.00029995
25,4,25,88761.00156245
26,2,26,88761.33384800001
26,3,26,88761.33893045
26,1,26,88761.33889715001
