sync_index,port,frame_index,frame_time
0,3,0,103651.16790825
0,2,0,103651.1676031
0,1,0,103651.16872345
0,0,0,103651.16785135001
0,4,0,103651.2923252
1,3,1,103652.8669244
1,2,1,103652.866693
1,1,1,103652.99039945
2,3,2,103653.0016356
2,2,2,103653.00287190001
3,3,3,103653.1687403
3,2,3,103653.16889015
3,0,1,103653.2640484
4,3,4,103653.33936295
4,2,4,103653.3353166
5,3,5,103653.5026256
5,2,5,103653.5037028
5,1,2,103653.5504742
5,0,2,103653.50330005
6,3,6,103653.6689201
6,2,6,103653.66878375
6,1,3,103653.68001835
6,0,3,103653.6690992
7,3,7,103653.83648935
7,2,7,103653.83486969999
7,1,4,103653.83649059999
7,0,4,103653.8346451
8,3,8,103654.00259125
8,2,8,103654.00208919999
8,1,5,103654.00249425
8,0,5,103654.00233125
9,3,9,103654.1677798
9,2,9,103654.16938194999
9,1,6,103654.1689225
9,0,6,103654.16806485
10,3,10,103654.3386497
10,2,10,103654.33899095
10,1,7,103654.33537505
10,0,7,103654.33477555
11,3,11,103654.50180605
11,2,11,103654.50221539999
11,1,8,103654.50195934999
11,0,8,103654.50374895
12,3,12,103654.6692767
12,2,12,103654.66806530001
12,1,9,103654.68190175001
12,0,9,103654.66777120001
13,3,13,103654.83495915
13,2,13,103654.835395
13,1,10,103654.83516819999
13,0,10,103654.836083
14,3,14,103655.00268785
14,2,14,103655.00192469999
14,1,11,103655.0037338
14,0,11,103655.00257345001
15,3,15,103655.169033
15,2,15,103655.1692444
15,1,12,103655.16912465
15,0,12,103655.1676404
16,3,16,103655.2675977
16,2,16,103655.20182260001
16,1,13,103655.2020594
16,0,13,103655.26894544999
17,3,17,103655.30184055
17,2,17,103655.269224
17,1,14,103655.2861661
18,2,18,103655.30266085
19,3,18,103655.334855
19,2,19,103655.3346629
19,1,15,103655.36651395
19,0,14,103655.3455883
20,3,19,103655.3725227
20,2,20,103655.3726197
21,3,20,103655.44482969999
21,2,21,103655.40499355001
21,0,15,103655.43656254999
21,4,1,103655.44000135
22,3,21,103655.53460575
22,2,22,103655.45262264999
22,1,16,103655.47705434999
22,0,16,103655.5338423
23,2,23,103655.53581204999
24,3,22,103655.56793955
24,2,24,103655.56775645001
24,1,17,103655.5722851
25,3,23,103655.63473135
25,2,25,103655.6028009
25,0,17,103655.63147905
26,2,26,103655.63488925001
27,2,27,103655.66781834999
27,1,18,103655.66923385
28,3,24,103655.7023881
28,2,28,103655.7017637
28,0,18,103655.73112995
29,3,25,103655.73492135
29,2,29,103655.73566579999
29,1,19,103655.76654005001
30,2,30,103655.77088625
31,3,26,103655.8047411
31,2,31,103655.80164615001
31,0,19,103655.83114265
31,4,2,103655.80451265001
32,3,27,103655.83662025
32,2,32,103655.84130605
32,1,20,103655.8755816
32,4,3,103655.8352645
33,2,33,103655.90223919999
33,4,4,103655.9016804
34,3,28,103655.9382589
34,2,34,103655.93627265
34,0,20,103655.942173
34,4,5,103655.93611475
35,3,29,103656.0687152
35,2,35,103656.0025165
35,1,21,103656.01493964999
35,4,6,103656.0021331
36,2,36,103656.09836265
36,1,22,103656.1420484
36,0,21,103656.10197535
36,4,7,103656.14440935
37,3,30,103656.23479225
37,2,37,103656.25106485
37,1,23,103656.21555865
37,0,22,103656.20188075
37,4,8,103656.2683746
38,2,38,103656.3065456
38,1,24,103656.33928425
38,0,23,103656.31561475
38,4,9,103656.30629255
39,3,31,103656.42915255
39,2,39,103656.4311861
39,1,25,103656.4296325
39,0,24,103656.3826642
39,4,10,103656.4016767
40,3,32,103656.468892
40,2,40,103656.4903112
40,1,26,103656.54306225
40,0,25,103656.47441905
40,4,11,103656.5425352
41,3,33,103656.55222375
41,2,41,103656.58013395
41,1,27,103656.59360580001
41,0,26,103656.5807591
41,4,12,103656.5688519
42,3,34,103656.63859095
42,2,42,103656.6385784
42,0,27,103656.65290475
42,4,13,103656.6376898
43,3,35,103656.73892285
43,2,43,103656.6677832
43,1,28,103656.70124550001
43,4,14,103656.6855022
44,2,44,103656.73934085
44,1,29,103656.79691535
44,0,28,103656.74179145
44,4,15,103656.7442905
45,3,36,103656.80892499999
45,2,45,103656.8072067
45,4,16,103656.80190260001
46,3,37,103656.87240665
46,2,46,103656.8392895
46,0,29,103656.85277930001
46,4,17,103656.870178
47,3,38,103656.9346296
47,2,47,103656.87434355001
47,1,30,103656.8770081
47,0,30,103656.93419135001
48,3,39,103656.96874545
48,2,48,103656.93609265
48,4,18,103656.9362477
49,2,49,103656.96901205
49,1,31,103656.9943219
49,4,19,103656.97028909999
50,2,50,103657.0016627
50,0,31,103657.02747425
50,4,20,103657.01292925
51,2,51,103657.04199105
52,3,40,103657.08022065001
