sync_index,port,frame_index,frame_time
0,2,0,151961.66957949998
0,1,0,151961.54497604998
1,2,1,151961.68474635
2,2,2,151961.70948345
3,2,3,151961.73557885
4,2,4,151961.7711883
4,0,0,151961.77549144998
5,2,5,151961.80707024998
6,2,6,151961.83307145
7,2,7,151961.86912035
8,2,8,151961.89501285
9,2,9,151961.93107865
9,0,1,151961.9393238
10,2,10,151961.97506655
10,1,1,151961.99474634998
11,2,11,151962.01105600002
11,0,2,151962.02716655
12,2,12,151962.0474453
13,2,13,151962.07502925
14,2,14,151962.10965915
14,1,2,151962.1193029
15,2,15,151962.13606715
15,0,3,151962.134381
16,2,16,151962.1717291
17,2,17,151962.2078499
18,2,18,151962.23396695
18,1,3,151962.25123795
18,0,4,151962.2423241
19,2,19,151962.26942199998
20,2,20,151962.29606199998
21,2,21,151962.33192565
21,0,5,151962.3400366
22,2,22,151962.3762848
22,1,4,151962.3954045
23,2,23,151962.41127644997
23,0,6,151962.42706735
24,2,24,151962.4481061
25,2,25,151962.4734559
26,2,26,151962.5096648
26,1,5,151962.51868645
27,2,27,151962.5351404
27,0,7,151962.53317085002
28,2,28,151962.57223679998
29,2,29,151962.60772610002
30,2,30,151962.63372705
30,1,6,151962.65068575
30,0,8,151962.6412126
31,2,31,151962.66971175
32,2,32,151962.69515604997
33,2,33,151962.73176315002
33,0,9,151962.73927695001
34,2,34,151962.77583095
34,1,7,151962.79478885
35,2,35,151962.81203865
35,0,10,151962.82776525
36,2,36,151962.84751605
37,2,37,151962.8736549
38,2,38,151962.90956905
38,1,8,151962.91930135
39,2,39,151962.9352148
39,0,11,151962.93319359998
40,2,40,151962.97146075
41,2,41,151963.0075818
42,2,42,151963.03342664998
42,1,9,151963.05110995
42,0,12,151963.04109675
43,2,43,151963.06917769997
44,2,44,151963.0956146
45,2,45,151963.13178495
45,0,13,151963.13909155
46,2,46,151963.17598035
46,1,10,151963.19463155
47,2,47,151963.211076
47,0,14,151963.22712435
48,2,48,151963.2474797
49,2,49,151963.2735037
50,2,50,151963.3094577
50,1,11,151963.3189297
51,2,51,151963.33533119998
51,0,15,151963.33351505
52,2,52,151963.37214715
53,2,53,151963.4082313
54,2,54,151963.433256
54,1,12,151963.45079884998
54,0,16,151963.4410049
55,2,55,151963.46917175
56,2,56,151963.49519955
57,2,57,151963.53168329998
57,0,17,151963.53916365
58,2,58,151963.57558865
58,1,13,151963.5947388
59,2,59,151963.6114226
59,0,18,151963.62717975
60,2,60,151963.64766255
61,2,61,151963.67324945
62,2,62,151963.71025045
62,1,14,151963.71881705
63,2,63,151963.7352835
63,0,19,151963.7332468
64,2,64,151963.77218124998
65,2,65,151963.80754045
66,2,66,151963.83344850002
66,1,15,151963.85129030002
66,0,20,151963.84162000002
67,2,67,151963.8691103
68,2,68,151963.8950952
69,2,69,151963.93159885
69,0,21,151963.93921975
70,2,70,151963.97588125
70,1,16,151963.99507875
71,2,71,151964.0113097
71,0,22,151964.02720830002
72,2,72,151964.0478373
73,2,73,151964.0738886
74,2,74,151964.1100314
74,1,17,151964.1187356
75,2,75,151964.13515415002
75,0,23,151964.1331319
76,2,76,151964.17126945
77,2,77,151964.21177005
77,0,24,151964.24108415
78,2,78,151964.24355195
78,1,18,151964.250657
79,2,79,151964.2694154
80,2,80,151964.29591440002
81,2,81,151964.3318947
81,0,25,151964.33918845002
82,2,82,151964.3676803
82,1,19,151964.394889
83,2,83,151964.40140139998
83,0,26,151964.4272934
84,2,84,151964.4476861
85,2,85,151964.47370315
86,2,86,151964.50977755
86,1,20,151964.51881605
87,2,87,151964.53553105
87,0,27,151964.533337
88,2,88,151964.57309695001
89,2,89,151964.6075699
90,2,90,151964.63354900002
90,1,21,151964.65083925
90,0,28,151964.6410844
91,2,91,151964.66925535002
92,2,92,151964.69527775
93,2,93,151964.7315232
93,0,29,151964.739422
94,2,94,151964.76780365
94,1,22,151964.79482285
95,2,95,151964.8012103
95,0,30,151964.82765045
96,2,96,151964.84785055002
97,2,97,151964.8736257
98,2,98,151964.91424525
98,1,23,151964.91867165
99,2,99,151964.94552605
99,0,31,151964.9333495
100,2,100,151964.97206475
101,2,101,151965.0076249
102,2,102,151965.03353870002
102,1,24,151965.0506205
102,0,32,151965.04107595002
103,2,103,151965.0692241
104,2,104,151965.0950987
105,2,105,151965.13163234998
105,0,33,151965.1391333
106,2,106,151965.1675152
106,1,25,151965.1946949
107,2,107,151965.20117065
107,0,34,151965.22722605
