,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 1)",0,1,42203.6794329,77,2,-0.31842687726020813,0.07001370191574097,0.9254721999168396,140.50875854492188,445.05462646484375,366.8069152832031,423.93292236328125,145.05531311035156,433.5701904296875,366.53521728515625,423.53533935546875
1,"(0, 1)",0,1,42203.6794329,77,5,-0.27918294072151184,0.07210350781679153,0.9480457305908203,172.63497924804688,447.22113037109375,424.62933349609375,417.2066345214844,176.98182678222656,435.35675048828125,424.15863037109375,416.7112731933594
2,"(0, 1)",0,1,42203.6794329,77,8,-0.2374194860458374,0.07544539123773575,0.966874897480011,202.47914123535156,449.9795837402344,485.36737060546875,410.9620056152344,206.09303283691406,438.0308837890625,484.54046630859375,410.32427978515625
3,"(0, 1)",0,1,42203.6794329,77,11,-0.19548922777175903,0.07817508280277252,0.9867619872093201,236.30630493164062,453.3526306152344,548.0061645507812,403.72613525390625,238.84347534179688,441.34161376953125,546.3442993164062,402.69873046875
4,"(0, 2)",0,2,42203.678929325004,77,8,-0.04021318256855011,0.07292931526899338,0.8504838347434998,202.47914123535156,449.9795837402344,316.3946533203125,263.636474609375,206.09303283691406,438.0308837890625,316.3234558105469,264.4453125
5,"(0, 2)",0,2,42203.678929325004,77,11,0.01078867632895708,0.07141926139593124,0.8476575613021851,236.30630493164062,453.3526306152344,345.10540771484375,265.55828857421875,238.84347534179688,441.34161376953125,345.1873474121094,266.38641357421875
6,"(1, 2)",1,2,42203.686868425,77,8,-0.06451719999313354,0.14602385461330414,0.6488285064697266,485.36737060546875,410.9620056152344,316.3946533203125,263.636474609375,484.54046630859375,410.32427978515625,316.3234558105469,264.4453125
7,"(1, 2)",1,2,42203.686868425,77,11,-0.03288319334387779,0.15205150842666626,0.6299830079078674,548.0061645507812,403.72613525390625,345.10540771484375,265.55828857421875,546.3442993164062,402.69873046875,345.1873474121094,266.38641357421875
8,"(0, 1)",0,1,42203.845277225,78,2,-0.3300490081310272,0.05079520121216774,0.9312264323234558,138.35423278808594,427.5982971191406,356.5535583496094,404.608642578125,143.0812530517578,417.0203857421875,356.34429931640625,404.27569580078125
9,"(0, 1)",0,1,42203.845277225,78,5,-0.2909493148326874,0.05346504598855972,0.9549615979194641,170.5585174560547,429.44488525390625,413.3891906738281,398.8814392089844,174.8531036376953,418.87664794921875,413.00244140625,398.4617919921875
10,"(0, 1)",0,1,42203.845277225,78,8,-0.24965764582157135,0.05744822323322296,0.9747700095176697,200.6224365234375,432.2670593261719,472.0534362792969,393.5496826171875,204.11965942382812,421.82763671875,471.37493896484375,393.03564453125
11,"(0, 1)",0,1,42203.845277225,78,11,-0.20845873653888702,0.06080895662307739,0.9974720478057861,233.99525451660156,434.5939025878906,533.5050048828125,387.8460693359375,236.44869995117188,424.3533020019531,532.2601928710938,387.127197265625
12,"(0, 2)",0,2,42203.841729249994,78,1,-0.17070403695106506,0.10445065796375275,0.878355085849762,146.67160034179688,447.53546142578125,248.8255157470703,278.2906188964844,151.22886657714844,435.82745361328125,248.87786865234375,279.3389892578125
13,"(0, 2)",0,2,42203.841729249994,78,2,-0.1506008505821228,0.06456541270017624,0.8501478433609009,138.35423278808594,427.5982971191406,254.794677734375,256.79730224609375,143.0812530517578,417.0203857421875,254.7901611328125,257.5674133300781
14,"(0, 2)",0,2,42203.841729249994,78,4,-0.11672516912221909,0.10499512404203415,0.8829101324081421,177.29800415039062,450.6169128417969,278.48388671875,280.36328125,181.55650329589844,438.51458740234375,278.3089599609375,281.46356201171875
15,"(0, 2)",0,2,42203.841729249994,78,5,-0.09575070440769196,0.06263907253742218,0.8529444336891174,170.5585174560547,429.44488525390625,285.2684326171875,257.1410217285156,174.8531036376953,418.87664794921875,285.09283447265625,257.8605041503906
16,"(0, 2)",0,2,42203.841729249994,78,7,-0.06563334912061691,0.10066390037536621,0.8832377791404724,207.6328887939453,452.8014221191406,305.5885925292969,279.1094665527344,211.109619140625,440.64501953125,305.4571533203125,280.2014465332031
17,"(0, 2)",0,2,42203.841729249994,78,8,-0.046132493764162064,0.060194291174411774,0.8517183065414429,200.6224365234375,432.2670593261719,312.4410400390625,257.13397216796875,204.11965942382812,421.82763671875,312.3515319824219,257.82745361328125
18,"(0, 2)",0,2,42203.841729249994,78,10,-0.018505120649933815,0.09889423102140427,0.884695291519165,239.56015014648438,456.4757385253906,330.8291015625,279.2586975097656,242.0026092529297,444.1856384277344,330.83184814453125,280.3440856933594
19,"(0, 2)",0,2,42203.841729249994,78,11,0.003979219123721123,0.05904434248805046,0.849566638469696,233.99525451660156,434.5939025878906,340.36651611328125,258.9444580078125,236.44869995117188,424.3533020019531,340.4311218261719,259.65728759765625
20,"(1, 2)",1,2,42203.842213175,78,2,-0.14002420008182526,0.12540599703788757,0.6764642596244812,356.5535583496094,404.608642578125,254.794677734375,256.79730224609375,356.34429931640625,404.27569580078125,254.7901611328125,257.5674133300781
21,"(1, 2)",1,2,42203.842213175,78,5,-0.10270541161298752,0.13194826245307922,0.664524495601654,413.3891906738281,398.8814392089844,285.2684326171875,257.1410217285156,413.00244140625,398.4617919921875,285.09283447265625,257.8605041503906
22,"(1, 2)",1,2,42203.842213175,78,8,-0.07117640227079391,0.13728240132331848,0.655268669128418,472.0534362792969,393.5496826171875,312.4410400390625,257.13397216796875,471.37493896484375,393.03564453125,312.3515319824219,257.82745361328125
23,"(1, 2)",1,2,42203.842213175,78,11,-0.03993132337927818,0.14384232461452484,0.6394686698913574,533.5050048828125,387.8460693359375,340.36651611328125,258.9444580078125,532.2601928710938,387.127197265625,340.4311218261719,259.65728759765625
24,"(0, 1)",0,1,42204.01167265,79,2,-0.32681289315223694,0.034853026270866394,0.9256935119628906,137.5585479736328,418.2498779296875,352.3412780761719,382.50579833984375,142.2938690185547,408.21990966796875,352.1792297363281,382.23553466796875
25,"(0, 1)",0,1,42204.01167265,79,5,-0.28834202885627747,0.03774092718958855,0.949867308139801,170.28573608398438,420.0132751464844,408.60723876953125,377.20111083984375,174.47799682617188,410.16290283203125,408.2769775390625,376.8502197265625
26,"(0, 1)",0,1,42204.01167265,79,8,-0.24754151701927185,0.0412016399204731,0.9700917601585388,200.71681213378906,422.1857604980469,466.5243225097656,371.1852722167969,204.0716552734375,412.6191101074219,465.92047119140625,370.7591857910156
27,"(0, 1)",0,1,42204.01167265,79,10,-0.22008900344371796,0.08177268505096436,1.014204502105713,239.38235473632812,446.33929443359375,535.0079956054688,421.5507507324219,241.76266479492188,435.02593994140625,533.41455078125,420.4181213378906
28,"(0, 1)",0,1,42204.01167265,79,11,-0.20689411461353302,0.04449611157178879,0.992326557636261,233.75390625,424.38287353515625,526.572021484375,365.2195739746094,236.09933471679688,415.0936279296875,525.5244750976562,364.68572998046875
29,"(0, 2)",0,2,42204.0061312,79,0,-0.19075457751750946,0.1298789530992508,0.9045807123184204,154.72454833984375,459.65771484375,241.63906860351562,288.3356018066406,159.0982666015625,447.25225830078125,241.81524658203125,289.49713134765625
30,"(0, 2)",0,2,42204.0061312,79,1,-0.1689368039369583,0.08404476195573807,0.8729230165481567,146.15171813964844,438.76007080078125,247.4719696044922,264.4208068847656,150.80996704101562,427.510986328125,247.55194091796875,265.29901123046875
