,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
0,0,dropped,249081.63819865,249081.83529745002
1,1,dropped,dropped,249081.868446
2,2,dropped,dropped,249081.9684975
3,3,dropped,249082.0178284,249082.00244150002
4,4,dropped,249082.0178284,249082.00244150002
5,5,dropped,249082.0178284,249082.00244150002
6,6,249082.04135425,dropped,249082.03534625
7,7,dropped,249082.1574214,249082.1682448
8,8,dropped,249082.1574214,249082.1682448
9,9,dropped,249082.1574214,249082.1682448
10,10,dropped,249082.1574214,249082.1682448
11,11,dropped,dropped,249082.20227080001
12,12,249082.2453759,dropped,249082.2354198
13,13,dropped,249082.2874876,249082.26831715
14,14,dropped,dropped,249082.30233475
15,15,dropped,dropped,249082.36827475
16,16,dropped,249082.41798055,249082.40242635
17,17,dropped,249082.41798055,249082.40242635
18,18,249082.4420315,dropped,249082.43531114998
19,19,249082.5393807,dropped,249082.5352442
20,20,249082.5393807,dropped,249082.5352442
21,21,249082.5393807,dropped,249082.5352442
22,22,dropped,249082.55644309998,249082.5684199
23,23,dropped,dropped,249082.6024481
24,24,249082.64538265002,dropped,249082.63527824997
25,25,dropped,249082.68742195,249082.66834005
26,26,dropped,dropped,249082.7024399
27,27,dropped,249082.81796304998,249082.80124055
28,28,dropped,249082.81796304998,249082.80124055
29,29,dropped,249082.81796304998,249082.80124055
30,30,249082.84155705,dropped,249082.83525285
31,31,249082.9394634,dropped,249082.935268
32,32,249082.9394634,dropped,249082.935268
33,33,249082.9394634,dropped,249082.935268
34,34,dropped,249082.956441,249082.96839985
35,35,dropped,dropped,249083.00124795001
36,36,249083.04539785,dropped,249083.03551815002
37,37,dropped,249083.0874584,249083.06824035
38,38,dropped,dropped,249083.1022473
39,39,dropped,dropped,249083.1685796
40,40,dropped,249083.21795095003,249083.20126975002
41,41,dropped,249083.21795095003,249083.20126975002
42,42,249083.24149295,dropped,249083.23523310001
43,43,249083.33930875,dropped,249083.33535895002
44,44,249083.33930875,dropped,249083.33535895002
45,45,249083.33930875,dropped,249083.33535895002
46,46,dropped,249083.3562788,249083.3682273
47,47,dropped,dropped,249083.4022682
48,48,249083.44573715,dropped,249083.4355083
49,49,dropped,249083.4875306,249083.4682597
50,50,dropped,dropped,249083.50229335
51,51,dropped,dropped,249083.56864475
52,52,dropped,249083.61802380002,249083.60127520002
53,53,dropped,249083.61802380002,249083.60127520002
54,54,249083.64148475,dropped,249083.63522705
55,55,249083.7392404,dropped,249083.73536624998
56,56,249083.7392404,dropped,249083.73536624998
57,57,249083.7392404,dropped,249083.73536624998
58,58,dropped,249083.75635725,249083.7682531
59,59,dropped,dropped,249083.8022653
