sync_index,port,frame_index,frame_time
0,1,0,3339.17606105
1,2,0,3339.2169494
1,1,1,3339.2079132
2,1,2,3339.23426865
3,2,1,3339.2891194000003
3,1,3,3339.26963145
4,2,2,3339.31457275
4,1,4,3339.29543435
5,2,3,3339.3506509500003
5,0,0,3339.334985
5,1,5,3339.3393328
6,2,4,3339.3867091
6,1,6,3339.3759714
7,2,5,3339.42043525
7,1,7,3339.4113083499997
8,2,6,3339.45637785
8,1,8,3339.4473264999997
9,2,7,3339.4924091000003
9,1,9,3339.4733049
10,2,8,3339.5290357
10,1,10,3339.50945895
11,2,9,3339.5547587
11,1,11,3339.5357102999997
12,2,10,3339.59021025
12,1,12,3339.57169475
13,2,11,3339.61674575
13,1,13,3339.6076805000002
14,2,12,3339.65238515
14,1,14,3339.63381505
15,2,13,3339.6883253
15,1,15,3339.6693027
16,2,14,3339.71485555
16,1,16,3339.69586305
17,2,15,3339.7512943499996
17,1,17,3339.74029595
18,2,16,3339.7864179
18,1,18,3339.7758591499996
19,2,17,3339.8209328499997
19,1,19,3339.8117834000004
20,2,18,3339.8569116500003
20,0,1,3339.85780725
20,1,20,3339.8473955
21,2,19,3339.8942543499998
21,1,21,3339.8744515999997
22,2,20,3339.9289412999997
22,1,22,3339.9098716
23,2,21,3339.9554594
23,0,2,3339.94969645
23,1,23,3339.9369661
24,2,22,3339.99096295
24,1,24,3339.9722143999998
25,2,23,3340.02698465
25,1,25,3340.0081786
26,2,24,3340.0532295000003
26,1,26,3340.0339885000003
27,2,25,3340.08873135
27,1,27,3340.0703839
28,2,26,3340.11474705
28,1,28,3340.0963735
29,2,27,3340.15078385
29,0,3,3340.14769
29,1,29,3340.1402163499997
30,2,28,3340.1871855500003
30,1,30,3340.1754869
31,2,29,3340.2209217
31,1,31,3340.2118197
32,2,30,3340.2681784
32,1,32,3340.2476429
33,2,31,3340.29267825
33,1,33,3340.2739137
34,2,32,3340.3290717
34,1,34,3340.3101797
35,2,33,3340.3549222
