sync_index,port,frame_index,frame_time
0,1,379,150.00791915000002
0,0,378,150.00510875
0,2,377,150.0105453
1,1,380,150.34169665000002
1,0,379,150.3386691
1,2,378,150.34368695
2,1,381,150.6737861
2,0,380,150.67369565
2,2,379,150.68771375
3,1,382,151.00569775
3,0,381,151.00667620000002
3,2,380,151.0077132
4,1,383,151.34040445
4,0,382,151.3407043
4,2,381,151.35249249999998
5,1,384,151.68578255
5,0,383,151.6876497
5,2,382,151.68674035
6,1,385,152.00929995
6,0,384,152.01930475
6,2,383,152.0053155
7,1,386,152.34065555
7,0,385,152.35273795
7,2,384,152.34153075
8,1,387,152.67284045
8,0,386,152.68540695000002
8,2,385,152.687388
9,1,388,153.01735715
9,0,387,153.00516395
9,2,386,153.0194384
10,1,389,153.33996665
10,0,388,153.34882735
10,2,387,153.35071345
11,1,390,153.6715704
11,0,389,153.67259030000002
11,2,388,153.67965055000002
12,1,391,154.0036025
12,0,390,154.00507284999998
12,2,389,154.01460405
13,1,392,154.33913285
13,0,391,154.3473726
13,2,390,154.3453777
14,1,393,154.67315555
14,0,392,154.67929429999998
14,2,391,154.67403810000002
15,1,394,155.00563499999998
15,0,393,155.01161380000002
15,2,392,155.00665285
16,1,395,155.34064815
16,0,394,155.34585225
16,2,393,155.33849364999998
17,1,396,155.67290685
17,0,395,155.6760545
17,2,394,155.67201425000002
18,1,397,156.00619245000001
18,0,396,156.00836485
18,2,395,156.00526635
19,1,398,156.33834575
19,0,397,156.33944975
19,2,396,156.3414598
20,1,399,156.6724142
20,0,398,156.67337694999998
20,2,397,156.67556875
21,1,400,157.00558275
21,0,399,157.0066063
21,2,398,157.01864534999999
22,1,401,157.3399432
22,0,400,157.35128079999998
22,2,399,157.3523233
23,1,402,157.6843371
23,0,401,157.6712903
23,2,400,157.68552355
24,1,403,158.00882345
24,0,402,158.0103144
24,2,401,158.01485405
25,1,404,158.34035690000002
25,0,403,158.33810920000002
25,2,402,158.34329215
26,1,405,158.672956
26,0,404,158.67302275
26,2,403,158.67486925
27,1,406,159.00725355
27,0,405,159.0050057
27,2,404,159.0162876
28,1,407,159.3423901
28,0,406,159.3381941
28,2,405,159.34554135000002
29,1,408,159.67719219999998
29,0,407,159.67121175
29,2,406,159.67813645
30,1,409,160.01000714999998
30,0,408,160.00571995
30,2,407,160.00799725000002
31,1,410,160.34220764999998
31,0,409,160.3391828
31,2,408,160.33804965000002
32,1,411,160.6734732
32,0,410,160.67451434999998
32,2,409,160.67127555000002
33,1,412,161.00556845
33,0,411,161.0079035
33,2,410,161.00646749999999
34,1,413,161.3405802
34,0,412,161.3381041
34,2,411,161.33957809999998
35,1,414,161.68742095
35,0,413,161.671157
35,2,412,161.67264615
36,1,415,162.02017845
36,0,414,162.00547385
36,2,413,162.01793055000002
37,1,416,162.3528988
37,0,415,162.35174560000002
37,2,414,162.33873549999998
38,1,417,162.6877791
38,0,416,162.67358665
38,2,415,162.68567810000002
39,1,418,163.01742130000002
39,0,417,163.01645185
39,2,416,163.0051981
40,1,419,163.35292465
40,0,418,163.34047164999998
40,2,417,163.33783145
41,1,420,163.6830381
41,0,419,163.68243999999999
41,2,418,163.67195600000002
42,1,421,164.01768644999999
42,0,420,164.0060344
42,2,419,164.0071961
43,1,422,164.34848925
43,0,421,164.3404287
43,2,420,164.33840955
44,1,423,164.6779879
44,0,422,164.67332115
44,2,421,164.674289
45,1,424,165.01218749999998
45,0,423,165.0073386
45,2,422,165.00594224999998
46,1,425,165.34465295
46,0,424,165.3408385
46,2,423,165.33852905
47,1,426,165.67920795
47,0,425,165.67133605
47,2,424,165.67277080000002
48,1,427,166.01204955
48,0,426,166.00649414999998
48,2,425,166.0074447
49,1,428,166.34189945
49,0,427,166.3388964
49,2,426,166.34007635
50,1,429,166.68937384999998
50,0,428,166.67315474999998
50,2,427,166.67125314999998
51,1,430,167.01848235
51,0,429,167.01652719999998
51,2,428,167.00528715000002
52,1,431,167.3499444
52,0,430,167.33873135
52,2,429,167.3481683
53,1,432,167.68163529999998
53,0,431,167.67942765
53,2,430,167.6722539
54,1,433,168.01228645
54,0,432,168.00692335
54,2,431,168.00787665000001
55,1,434,168.34312255
55,0,433,168.34009494999998
55,2,432,168.33806955
56,1,435,168.67383795
56,0,434,168.67362135000002
56,2,433,168.67454025
57,1,436,169.00625255
57,0,435,169.00598145
57,2,434,169.00806615
58,1,437,169.34061815
58,0,436,169.33959835000002
58,2,435,169.33873995
59,1,438,169.6747976
59,0,437,169.67555865000003
59,2,436,169.67255749999998
60,1,439,170.006081
60,0,438,170.01817885
60,2,437,170.00411675
61,1,440,170.35314469999997
61,0,439,170.351274
61,2,438,170.3385812
62,1,441,170.68407735
62,0,440,170.67280870000002
62,2,439,170.68202865
63,1,442,171.0181408
63,0,441,171.01567575
63,2,440,171.0050203
64,1,443,171.35271705000002
64,0,442,171.34024134999999
64,2,441,171.35079539999998
65,1,444,171.68198015000002
65,0,443,171.67268145
65,2,442,171.6729788
66,1,445,172.01541615000002
66,0,444,172.00661159999999
66,2,443,172.00749535
67,1,446,172.34391225000002
67,0,445,172.33789009999998
67,2,444,172.34014535
68,1,447,172.67895155000002
68,0,446,172.67280465
68,2,445,172.6716504
69,1,448,173.0128755
69,0,447,173.00578695000002
69,2,446,173.0069958
70,1,449,173.34755875
70,0,448,173.33790525
70,2,447,173.3398234
71,1,450,173.6773619
71,0,449,173.67380500000002
71,2,448,173.67179505000001
72,1,451,174.0109225
72,0,450,174.0057451
72,2,449,174.00681525
73,1,452,174.34155900000002
73,0,451,174.33950670000002
73,2,450,174.3383797
74,1,453,174.67345385
74,0,452,174.6733401
74,2,451,174.67445225
75,1,454,175.00635985
75,0,453,175.00487015
75,2,452,175.01824729999998
76,1,455,175.34914405
76,0,454,175.3395692
76,2,453,175.34717089999998
77,1,456,175.6787925
77,0,455,175.67282154999998
77,2,454,175.67174715
78,1,457,176.01025065
78,0,456,176.0044201
78,2,455,176.0064247
79,1,458,176.34297865000002
79,0,457,176.3383359
79,2,456,176.33925390000002
80,1,459,176.67493295
80,0,458,176.6736028
80,2,457,176.6744991
81,1,460,177.0077944
81,0,459,177.00770615
81,2,458,177.00920485
82,1,461,177.34311405
82,0,460,177.33986685
82,2,459,177.34374355
83,1,462,177.67582725
83,0,461,177.6722385
83,2,460,177.67672625
84,1,463,178.0099144
84,0,462,178.00708615000002
84,2,461,178.0190217
85,1,464,178.3415603
