,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,462.01030337500003,22,2,0.19165133796385397,0.18798371092777277,0.8298197944090059,641.7720947265625,425.12188720703125,785.8570556640625,291.1017150878906,638.9531949806072,421.6182761077688,779.3009467244132,290.0762232686406
1,"(0, 2)",0,2,462.01030337500003,22,5,0.1397337040088837,0.1880275107854602,0.8359304911549268,608.2578125,423.61700439453125,759.6234130859375,290.64263916015625,606.5639550693437,420.77397408182173,754.4829471982503,289.79176183067426
2,"(0, 2)",0,2,462.01030337500003,22,8,0.08884951463588862,0.1885894119346289,0.8400432649475809,576.19873046875,422.4881591796875,734.294921875,290.92047119140625,575.2855812892716,420.10397412534365,730.4053473650097,290.2139152340704
3,"(0, 2)",0,2,462.01030337500003,22,9,0.04153150659283491,0.27648596024919236,0.9012158181216078,545.4296875,466.37408447265625,688.5308837890625,337.327392578125,544.8674139970905,461.8553358716661,686.1313302332877,336.07359098634925
4,"(0, 2)",0,2,462.01030337500003,22,10,0.03726125955857919,0.2343350474196399,0.8741673102037184,543.564208984375,445.357177734375,696.3765258789062,315.61785888671875,543.1387552526678,442.0954372252756,693.9037651236367,314.71216359170074
5,"(0, 2)",0,2,462.01030337500003,22,11,0.03369537042092576,0.19029081147753946,0.843625889809753,542.1410522460938,422.65765380859375,706.4412841796875,291.5860290527344,541.8322932312407,420.5042786536411,703.7512471198669,291.0247705016666
6,"(0, 2)",0,2,462.182685375,23,2,0.1956248859154204,0.16735974282895963,0.8460398908754262,640.5662841796875,405.67169189453125,781.5779418945312,282.71417236328125,638.153495303452,403.04756523599275,775.3063876635003,281.9368361759253
7,"(0, 2)",0,2,462.182685375,23,4,0.1461189018847207,0.21563765342501803,0.8730506070332594,607.7547607421875,432.3677062988281,747.5791625976562,307.3629150390625,605.9426282858974,429.11621114967176,742.9340459982063,306.1999271185029
8,"(0, 2)",0,2,462.182685375,23,5,0.14233761127675595,0.16838100169909706,0.8524088266881633,607.057373046875,405.48724365234375,754.8767700195312,282.2744445800781,605.6562596369771,403.4129096963784,750.0258611153765,281.64377801933597
9,"(0, 2)",0,2,462.182685375,23,6,0.10275763358148578,0.26355945804697567,0.9080390545332212,579.78857421875,455.45672607421875,714.5494384765625,331.3990173339844,578.4399758854549,451.33062544544975,711.2033381443343,329.9911739143026
10,"(0, 2)",0,2,462.182685375,23,7,0.09349502709180904,0.21795400113615374,0.8785565333212848,575.744140625,431.3932189941406,721.9364624023438,309.29302978515625,574.7518013322731,428.60588437569834,718.4802578593777,308.29643658842735
11,"(0, 2)",0,2,462.182685375,23,8,0.09184464503159581,0.17048946433965692,0.8563345790218029,575.9898681640625,405.5513000488281,730.1484375,283.2858581542969,575.2421769812797,403.840317413282,726.490023135851,282.75255039301527
12,"(0, 2)",0,2,462.182685375,23,9,0.046633411040130475,0.2660120369880379,0.9118355206253145,547.5308837890625,456.0609436035156,687.8734130859375,332.7096252441406,546.9696504575548,452.17139228083204,685.5458005659978,331.5581545795128
13,"(0, 2)",0,2,462.182685375,23,10,0.042087297013333295,0.22032292775559845,0.886880113319063,545.4574584960938,432.4170227050781,694.805908203125,309.28131103515625,545.0523895731803,429.80694104289944,692.4415558673495,308.500081740072
14,"(0, 2)",0,2,462.182685375,23,11,0.03539088076465386,0.1728900062145386,0.858192183789224,541.878662109375,406.1768798828125,702.8120727539062,284.4958801269531,541.6331929187987,404.6656188656578,700.2978751875198,284.06645554318044
15,"(0, 1)",0,1,462.358655675,24,2,0.19799109770242124,0.14541195892898817,0.8422293073321079,642.386962890625,394.43389892578125,962.7789916992188,503.3013610839844,640.1057498365699,392.2014840653505,962.9602153198706,501.81590468732657
