bundle_index,port,frame_index,frame_time
0,0,126,458.199795
0,2,126,458.2008148
0,1,126,458.20122235
1,0,127,458.37342475
1,2,127,458.37150635
1,1,127,458.37247625
2,0,128,458.5433305
2,2,128,458.5496953
2,1,128,458.54653965
3,0,129,458.7147103
3,2,129,458.71545515
3,1,129,458.7146733
4,0,130,458.88613439999995
4,2,130,458.88650014999996
4,1,130,458.88913615
5,0,131,459.0626219
5,2,131,459.0585674
5,1,131,459.0624673
6,0,132,459.2341252
6,2,132,459.2373098
6,1,132,459.23643595
7,0,133,459.41088585
7,2,133,459.4099013
7,1,133,459.40908055
8,0,134,459.5821156
8,2,134,459.58370235
8,1,134,459.58353915
9,0,135,459.75071615
9,2,135,459.75087874999997
9,1,135,459.7547525
10,0,136,459.92363495
10,2,136,459.9213394
10,1,136,459.92397274999996
11,0,137,460.09265105
11,2,137,460.09320449999996
11,1,137,460.0942754
12,0,138,460.2661251
12,2,138,460.267064
12,1,138,460.2701192
13,0,139,460.44184925
13,2,139,460.44094244999997
13,1,139,460.44508255
14,0,140,460.61608615
14,2,140,460.61707609999996
14,1,140,460.6181182
15,0,141,460.7895835
15,2,141,460.79020264999997
15,1,141,460.79321335
16,0,142,460.96387404999996
16,2,142,460.96523075000005
16,1,142,460.96610865
17,0,143,461.14004585
17,2,143,461.14063615
17,1,143,461.1436491
18,0,144,461.3145906
18,2,144,461.31263985
18,1,144,461.3137013
19,0,145,461.4875499
19,2,145,461.4886955
19,1,145,461.4867035
20,0,146,461.65835930000003
20,2,146,461.66100915
20,1,146,461.66119960000003
21,0,147,461.834232
21,2,147,461.833211
21,1,147,461.83625665
22,0,148,462.0103949
22,2,148,462.01021185
22,1,148,462.00928645
23,0,149,462.18371995
23,2,149,462.1816508
23,1,149,462.1841543
24,0,150,462.35676575
24,2,150,462.35784165
24,1,150,462.3605456
25,0,151,462.53143109999996
25,2,151,462.53044845
25,1,151,462.532649
26,0,152,462.7043853
26,2,152,462.7049581
26,1,152,462.70812045
27,0,153,462.87809515000004
27,2,153,462.87717150000003
27,1,153,462.87919224999996
28,0,154,463.04960170000004
28,2,154,463.05018175
28,1,154,463.05119490000004
29,0,155,463.2246209
29,2,155,463.2261142
29,1,155,463.22816925
30,0,156,463.3956257
30,2,156,463.39616420000004
30,1,156,463.39716085
31,0,157,463.5651851
31,2,157,463.56619294999996
31,1,157,463.56929355
32,0,158,463.7365516
32,2,158,463.73757035
32,1,158,463.73967075
33,0,159,463.9111917
33,2,159,463.91229705
33,1,159,463.91259955
34,0,160,464.0869506
34,2,160,464.0874841
34,1,160,464.08932995
35,0,161,464.26199075
35,2,161,464.26455095
35,1,161,464.2635976
36,0,162,464.43810470000005
36,2,162,464.43788705
36,1,162,464.43983625
37,0,163,464.6091012
37,2,163,464.61326844999996
37,1,163,464.61222705
38,0,164,464.7831788
38,2,164,464.78376349999996
38,1,164,464.78434685
39,0,165,464.95231225
39,2,165,464.9530737
39,1,165,464.9558475
40,0,166,465.12333639999997
40,2,166,465.1250172
40,1,166,465.12522075
41,0,167,465.29888675
41,2,167,465.2979478
41,1,167,465.30104459999995
42,0,168,465.4684849
42,2,168,465.4683255
42,1,168,465.4702793
43,0,169,465.6413742
43,2,169,465.64118405
43,1,169,465.64219564999996
44,0,170,465.8120955
44,2,170,465.81317935
44,1,170,465.814611
45,0,171,465.9892309
45,2,171,465.99002305
45,1,171,465.98813970000003
46,0,172,466.15993045
46,2,172,466.1590172
46,1,172,466.1610944
47,0,173,466.33256235
47,2,173,466.32859785
47,1,173,466.3316069
48,0,174,466.502139
48,2,174,466.5011073
48,1,174,466.50417185
49,0,175,466.67293155
49,2,175,466.6720283
49,1,175,466.67404645
50,0,176,466.845085
50,2,176,466.84861275000003
50,1,176,466.84759895
51,0,177,467.02125785
51,2,177,467.02221725
51,1,177,467.0232817
52,0,178,467.19405659999995
52,2,178,467.195119
52,1,178,467.1988167
53,0,179,467.36619214999996
53,2,179,467.3687277
53,1,179,467.36781075
54,0,180,467.5408405
54,2,180,467.54077725
54,1,180,467.5417977
55,0,181,467.71483294999996
55,2,181,467.71560435
55,1,181,467.71471025
56,0,182,467.8852042
56,2,182,467.8842883
56,1,182,467.88664919999997
57,0,183,468.05571515
57,2,183,468.0566544
57,1,183,468.05820925
58,0,184,468.2313425
58,2,184,468.23024765
58,1,184,468.22988945
59,0,185,468.40359939999996
59,2,185,468.40485215
59,1,185,468.40583725
60,0,186,468.57618985
60,2,186,468.57681785
60,1,186,468.58095095
61,0,187,468.7498785
61,2,187,468.7489842
61,1,187,468.75147964999996
62,0,188,468.92129215
62,2,188,468.92167329999995
62,1,188,468.92425560000004
63,0,189,469.09419030000004
63,2,189,469.0931501
63,1,189,469.0922733
