,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,462.0103034,22,2,0.191651338,0.187983711,0.829819794,641.7720947,425.1218872,785.8570557,291.1017151,638.953195,421.6182761,779.3009467,290.0762233
1,"(0, 2)",0,2,462.0103034,22,5,0.139733704,0.188027511,0.835930491,608.2578125,423.6170044,759.6234131,290.6426392,606.5639551,420.7739741,754.4829472,289.7917618
2,"(0, 2)",0,2,462.0103034,22,8,0.088849515,0.188589412,0.840043265,576.1987305,422.4881592,734.2949219,290.9204712,575.2855813,420.1039741,730.4053474,290.2139152
3,"(0, 2)",0,2,462.0103034,22,9,0.041531507,0.27648596,0.901215818,545.4296875,466.3740845,688.5308838,337.3273926,544.867414,461.8553359,686.1313302,336.073591
4,"(0, 2)",0,2,462.0103034,22,10,0.03726126,0.234335047,0.87416731,543.564209,445.3571777,696.3765259,315.6178589,543.1387553,442.0954372,693.9037651,314.7121636
5,"(0, 2)",0,2,462.0103034,22,11,0.03369537,0.190290811,0.84362589,542.1410522,422.6576538,706.4412842,291.5860291,541.8322932,420.5042787,703.7512471,291.0247705
6,"(0, 2)",0,2,462.1826854,23,2,0.195624886,0.167359743,0.846039891,640.5662842,405.6716919,781.5779419,282.7141724,638.1534953,403.0475652,775.3063877,281.9368362
7,"(0, 2)",0,2,462.1826854,23,4,0.146118902,0.215637653,0.873050607,607.7547607,432.3677063,747.5791626,307.362915,605.9426283,429.1162111,742.934046,306.1999271
8,"(0, 2)",0,2,462.1826854,23,5,0.142337611,0.168381002,0.852408827,607.057373,405.4872437,754.87677,282.2744446,605.6562596,403.4129097,750.0258611,281.643778
9,"(0, 2)",0,2,462.1826854,23,6,0.102757634,0.263559458,0.908039055,579.7885742,455.4567261,714.5494385,331.3990173,578.4399759,451.3306254,711.2033381,329.9911739
10,"(0, 2)",0,2,462.1826854,23,7,0.093495027,0.217954001,0.878556533,575.7441406,431.393219,721.9364624,309.2930298,574.7518013,428.6058844,718.4802579,308.2964366
11,"(0, 2)",0,2,462.1826854,23,8,0.091844645,0.170489464,0.856334579,575.9898682,405.5513,730.1484375,283.2858582,575.242177,403.8403174,726.4900231,282.7525504
12,"(0, 2)",0,2,462.1826854,23,9,0.046633411,0.266012037,0.911835521,547.5308838,456.0609436,687.8734131,332.7096252,546.9696505,452.1713923,685.5458006,331.5581546
13,"(0, 2)",0,2,462.1826854,23,10,0.042087297,0.220322928,0.886880113,545.4574585,432.4170227,694.8059082,309.281311,545.0523896,429.806941,692.4415559,308.5000817
14,"(0, 2)",0,2,462.1826854,23,11,0.035390881,0.172890006,0.858192184,541.8786621,406.1768799,702.8120728,284.4958801,541.6331929,404.6656189,700.2978752,284.0664555
15,"(0, 1)",0,1,462.3586557,24,2,0.197991098,0.145411959,0.842229307,642.3869629,394.4338989,962.7789917,503.3013611,640.1057498,392.2014841,962.9602153,501.8159047
16,"(0, 1)",0,1,462.3586557,24,5,0.144811946,0.148418678,0.848950592,608.4441528,394.9210205,897.8220825,510.1679688,607.1517121,393.1981223,896.8636542,508.5597436
