,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
4135,"(0, 1)",0,1,510.1149986,300,4,0.219540099,0.034579276,0.853858182,653.5827637,325.4365234,954.4049683,385.8051758,651.8463234,324.7370864,954.3590443,384.544585
4136,"(0, 1)",0,1,510.1149986,300,5,0.211173475,-0.017360758,0.844897282,651.0438232,294.4858398,936.7320557,327.776886,649.5983508,294.1982214,936.7416024,326.6621195
4137,"(0, 1)",0,1,510.1149986,300,6,0.194227629,0.082380746,0.9088881,631.1038208,351.3427734,912.2914429,460.1301575,629.7842591,350.4378075,911.5398001,458.7660267
4138,"(0, 1)",0,1,510.1149986,300,7,0.182907767,0.033391395,0.891303298,627.4074707,324.1580811,896.6217651,401.5355835,626.4375173,323.6987317,896.0967284,400.4859532
4139,"(0, 1)",0,1,510.1149986,300,8,0.177126578,-0.020918622,0.887406768,624.2092896,292.513916,880.7980347,345.269928,623.4791908,292.3433593,880.5695367,344.4200959
4140,"(0, 1)",0,1,510.1149986,300,11,0.138088369,-0.020250774,0.919252825,597.9753418,292.8300476,827.4973145,360.8142395,597.6798348,292.7308201,827.3960583,360.1730075
4141,"(0, 2)",0,2,510.1144485,300,0,0.277011796,0.087465565,0.869431786,687.1342163,359.3262329,805.6630859,237.5688019,683.5817953,357.4450409,798.181979,237.9239318
4142,"(0, 2)",0,2,510.1144485,300,1,0.268744704,0.032137738,0.85801097,683.9452515,326.5386658,807.9938965,207.2766724,680.9828137,325.5106102,800.3630647,208.4728154
4143,"(0, 2)",0,2,510.1144485,300,3,0.238504925,0.085491845,0.901772232,658.3222656,355.6733704,776.0209961,236.7281342,656.0686541,354.3270045,770.159151,237.1076286
4144,"(0, 2)",0,2,510.1144485,300,4,0.227554773,0.032510191,0.888914416,653.5827637,325.4365234,777.4328613,208.2336578,651.8463234,324.7370864,771.4380318,209.3175318
4145,"(0, 2)",0,2,510.1144485,300,5,0.223315872,-0.019679917,0.887009408,651.0438232,294.4858398,777.3447876,180.9502869,649.5983508,294.1982214,771.2236186,182.7414779
4146,"(0, 2)",0,2,510.1144485,300,6,0.20088528,0.083327033,0.943068197,631.1038208,351.3427734,744.6048584,236.5105438,629.7842591,350.4378075,740.3406634,236.8637505
4147,"(0, 2)",0,2,510.1144485,300,7,0.19174235,0.032300458,0.930897702,627.4074707,324.1580811,745.859375,209.4394379,626.4375173,323.6987317,741.4518151,210.3630565
4148,"(0, 2)",0,2,510.1144485,300,8,0.184765879,-0.022145661,0.920119963,624.2092896,292.513916,748.1480713,181.7354889,623.4791908,292.3433593,743.4646921,183.3091335
4149,"(0, 2)",0,2,510.1144485,300,11,0.143231569,-0.020657699,0.952057807,597.9753418,292.8300476,719.1785889,184.3287659,597.6798348,292.7308201,715.7948241,185.617415
4150,"(1, 2)",1,2,510.1157715,300,4,0.237696787,0.019997217,0.890992353,954.4049683,385.8051758,777.4328613,208.2336578,954.3590443,384.544585,771.4380318,209.3175318
4151,"(1, 2)",1,2,510.1157715,300,5,0.226770811,-0.032178017,0.87917183,936.7320557,327.776886,777.3447876,180.9502869,936.7416024,326.6621195,771.2236186,182.7414779
4152,"(1, 2)",1,2,510.1157715,300,6,0.207926348,0.07241508,0.941199843,912.2914429,460.1301575,744.6048584,236.5105438,911.5398001,458.7660267,740.3406634,236.8637505
4153,"(1, 2)",1,2,510.1157715,300,7,0.198288106,0.019570167,0.928264313,896.6217651,401.5355835,745.859375,209.4394379,896.0967284,400.4859532,741.4518151,210.3630565
4154,"(1, 2)",1,2,510.1157715,300,8,0.186972112,-0.031077943,0.912498085,880.7980347,345.269928,748.1480713,181.7354889,880.5695367,344.4200959,743.4646921,183.3091335
4155,"(1, 2)",1,2,510.1157715,300,9,0.166794303,0.07212592,0.974055747,855.8273926,472.565094,716.4537354,236.1639862,855.055226,471.3722543,713.4510237,236.4733393
4156,"(1, 2)",1,2,510.1157715,300,10,0.158311431,0.019853934,0.962663996,841.472229,416.7351685,717.9273682,209.2682037,841.0520397,415.8962881,714.7627912,210.0527043
4157,"(1, 2)",1,2,510.1157715,300,11,0.14598358,-0.028906806,0.942780485,827.4973145,360.8142395,719.1785889,184.3287659,827.3960583,360.1730075,715.7948241,185.617415
