,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,155.67403437500002,17,0,0.17212769389152527,0.44044163823127747,1.0198019742965698,538.5588989257812,633.8283081054688,549.6112060546875,425.99224853515625,541.1647338867188,628.1624755859375,550.654541015625,425.1439208984375
1,"(0, 2)",0,2,155.67403437500002,17,1,0.16479672491550446,0.38631924986839294,1.0114442110061646,534.568115234375,609.813232421875,555.8508911132812,401.05755615234375,536.9819946289062,605.2079467773438,556.6087036132812,400.5802917480469
2,"(0, 2)",0,2,155.67403437500002,17,2,0.1582299917936325,0.3354261815547943,1.0026381015777588,530.7716674804688,586.4151000976562,562.4342041015625,376.66546630859375,532.9873046875,582.730712890625,562.9749755859375,376.43121337890625
3,"(0, 2)",0,2,155.67403437500002,17,5,0.20338335633277893,0.32187992334365845,0.9914472699165344,564.4812622070312,583.4923706054688,592.2696533203125,374.3178405761719,565.8817749023438,580.2997436523438,592.4895629882812,374.1935729980469
4,"(0, 2)",0,2,155.67403437500002,17,8,0.24588525295257568,0.30583739280700684,0.9814441800117493,597.3531494140625,580.1476440429688,619.6522827148438,369.057861328125,598.1295166015625,577.3433837890625,619.7175903320312,369.0082092285156
5,"(0, 2)",0,2,155.67403437500002,17,9,0.30373436212539673,0.394695520401001,0.9877719283103943,633.6538696289062,625.3165893554688,631.1232299804688,413.43182373046875,634.0059204101562,620.7970581054688,631.2348022460938,413.1690673828125
6,"(0, 2)",0,2,155.67403437500002,17,10,0.29839903116226196,0.3445364832878113,0.9794735312461853,633.6806640625,602.2832641601562,639.4575805664062,391.21307373046875,633.9737548828125,598.7789916992188,639.5017700195312,391.1148376464844
7,"(0, 2)",0,2,155.67403437500002,17,11,0.28956934809684753,0.29173919558525085,0.9667800664901733,631.345947265625,578.064208984375,648.3705444335938,368.30047607421875,631.6135864257812,575.4850463867188,648.3804321289062,368.2812194824219
8,"(0, 2)",0,2,156.00681559999998,18,2,0.20094536244869232,0.3473811149597168,1.0959848165512085,564.2296752929688,549.9068603515625,562.5678100585938,353.69854736328125,565.3174438476562,547.8369750976562,563.041259765625,353.5964660644531
9,"(0, 2)",0,2,156.00681559999998,18,3,0.2532369792461395,0.43873652815818787,1.0897480249404907,594.284912109375,597.7617797851562,576.3721313476562,401.45660400390625,595.2310180664062,594.259033203125,576.8467407226562,401.0894775390625
10,"(0, 2)",0,2,156.00681559999998,18,4,0.25021594762802124,0.3869118392467499,1.0839613676071167,594.8179931640625,574.4560546875,583.942626953125,378.6125793457031,595.5980834960938,571.838134765625,584.2446899414062,378.4425354003906
11,"(0, 2)",0,2,156.00681559999998,18,5,0.24556046724319458,0.33507025241851807,1.0810145139694214,594.422607421875,549.6124267578125,590.2288208007812,353.2943420410156,595.0505981445312,547.779541015625,590.4212036132812,353.2403564453125
12,"(0, 2)",0,2,156.00681559999998,18,6,0.29729795455932617,0.42723333835601807,1.0783166885375977,623.4212036132812,597.3795776367188,601.2457275390625,399.5428161621094,623.8657836914062,594.0447998046875,601.4802856445312,399.3004150390625
13,"(0, 2)",0,2,156.340454775,19,0,0.23382887244224548,0.47009387612342834,1.1296746730804443,581.5513305664062,598.8216552734375,553.6362915039062,400.5392150878906,582.7481079101562,595.1795654296875,554.427490234375,400.0541076660156
14,"(0, 2)",0,2,156.340454775,19,1,0.22523066401481628,0.42020389437675476,1.1362624168395996,578.3369750976562,572.6177368164062,555.1265258789062,375.1459045410156,579.3768920898438,569.9426879882812,555.7680053710938,374.8940124511719
15,"(0, 2)",0,2,156.340454775,19,2,0.21922898292541504,0.3693925142288208,1.139134407043457,576.7083740234375,547.046630859375,558.7945556640625,349.5335998535156,577.5692749023438,545.16357421875,559.311767578125,349.4451904296875
16,"(0, 2)",0,2,156.340454775,19,3,0.2754369080066681,0.4564521014690399,1.1185880899429321,607.8280639648438,596.9925537109375,577.4324340820312,397.7985534667969,608.5296630859375,593.6036376953125,577.8770751953125,397.4692077636719
17,"(0, 2)",0,2,156.340454775,19,4,0.27072063088417053,0.4048087000846863,1.1201945543289185,607.3861694335938,571.3206787109375,582.4614868164062,373.6716003417969,607.9594116210938,568.8836669921875,582.76220703125,373.5227966308594
18,"(0, 2)",0,2,156.340454775,19,5,0.2638002634048462,0.3557624816894531,1.1259065866470337,605.4872436523438,545.2551879882812,585.1827392578125,348.18389892578125,605.9536743164062,543.604248046875,585.4078369140625,348.137939453125
19,"(0, 2)",0,2,156.340454775,19,6,0.32018640637397766,0.44140681624412537,1.1069676876068115,636.71875,595.0528564453125,602.3399658203125,394.45660400390625,636.947509765625,591.848388671875,602.5493774414062,394.25372314453125
20,"(0, 2)",0,2,156.340454775,19,7,0.31293216347694397,0.39309245347976685,1.1094614267349243,634.9092407226562,570.3800659179688,605.85009765625,371.7670593261719,635.1127319335938,568.0731811523438,605.9780883789062,371.6849060058594
21,"(0, 2)",0,2,156.340454775,19,8,0.3057302236557007,0.3417760729789734,1.1145241260528564,633.3693237304688,543.4017333984375,609.2003173828125,345.45269775390625,633.5355224609375,541.8958129882812,609.2774047851562,345.4344787597656
22,"(0, 2)",0,2,156.340454775,19,9,0.3626220226287842,0.42532482743263245,1.09138023853302,664.9773559570312,593.7332763671875,626.9027709960938,392.4522399902344,664.7789306640625,590.5918579101562,626.985107421875,392.32696533203125
23,"(0, 2)",0,2,156.340454775,19,10,0.35728782415390015,0.37824293971061707,1.0952483415603638,664.5786743164062,568.699951171875,631.08203125,370.0971374511719,664.4176025390625,566.45947265625,631.1182861328125,370.06005859375
24,"(0, 2)",0,2,156.340454775,19,11,0.3489897847175598,0.3297104835510254,1.0994549989700317,662.4446411132812,542.5790405273438,634.1715698242188,345.92694091796875,662.3380126953125,541.1070556640625,634.1847534179688,345.9216003417969
25,"(0, 2)",0,2,156.67447284999997,20,0,0.23065757751464844,0.4910225570201874,1.142693042755127,578.6943359375,602.2631225585938,546.9295654296875,406.61602783203125,579.9776611328125,598.4544067382812,547.8779907226562,406.0174560546875
26,"(0, 2)",0,2,156.67447284999997,20,1,0.2248286008834839,0.43929678201675415,1.1525641679763794,577.3578491210938,574.6161499023438,549.2026977539062,379.5884704589844,578.4315795898438,571.8631591796875,549.9586791992188,379.2772521972656
27,"(0, 2)",0,2,156.67447284999997,20,2,0.22049608826637268,0.3893236219882965,1.1587234735488892,576.720458984375,548.5257568359375,552.815185546875,354.1129150390625,577.5927734375,546.600830078125,553.4290161132812,353.98870849609375
28,"(0, 2)",0,2,156.67447284999997,20,3,0.2725396752357483,0.47824352979660034,1.130827784538269,604.6332397460938,601.3246459960938,570.677490234375,404.3716735839844,605.4148559570312,597.7408447265625,571.2379150390625,403.9460754394531
29,"(0, 2)",0,2,156.67447284999997,20,4,0.27053865790367126,0.4276640713214874,1.137446403503418,605.7378540039062,574.84814453125,575.5662841796875,379.4772644042969,606.3535766601562,572.28125,575.9556274414062,379.27362060546875
30,"(0, 2)",0,2,156.67447284999997,20,5,0.26556581258773804,0.3755473792552948,1.1431022882461548,605.2654418945312,548.1326904296875,579.4688720703125,352.9529113769531,605.748779296875,546.4014892578125,579.7507934570312,352.8838195800781
31,"(0, 2)",0,2,156.67447284999997,20,6,0.31871336698532104,0.46773019433021545,1.1232140064239502,633.463623046875,600.0567626953125,594.4768676757812,401.61151123046875,633.7547607421875,596.6435546875,594.7716674804688,401.3265686035156
32,"(0, 2)",0,2,156.67447284999997,20,7,0.3148571252822876,0.4198850393295288,1.1293737888336182,633.3937377929688,574.1131591796875,598.6074829101562,379.0860290527344,633.6246337890625,571.6766357421875,598.79541015625,378.95721435546875
33,"(0, 2)",0,2,156.67447284999997,20,8,0.30832886695861816,0.3666761815547943,1.1350914239883423,632.4072265625,546.878662109375,602.171875,352.2421569824219,632.5900268554688,545.2779541015625,602.2879028320312,352.2060241699219
34,"(0, 2)",0,2,156.67447284999997,20,9,0.3628661632537842,0.4559166133403778,1.1089106798171997,661.4860229492188,599.4951782226562,618.7315063476562,401.6965637207031,661.3353271484375,596.1278076171875,618.869384765625,401.4949951171875
35,"(0, 2)",0,2,156.67447284999997,20,10,0.3579579293727875,0.40534693002700806,1.1126070022583008,661.6239013671875,573.788818359375,623.4005126953125,378.18414306640625,661.4940185546875,571.381591796875,623.4682006835938,378.1135559082031
36,"(0, 2)",0,2,156.67447284999997,20,11,0.35157474875450134,0.3567635715007782,1.119299292564392,660.6231079101562,547.7470703125,626.4794921875,353.625244140625,660.52880859375,546.1395874023438,626.5098266601562,353.6100158691406
