bundle_index,port,frame_index,frame_time
0,1,0,13.177214549999999
1,1,1,13.2098728
2,1,2,13.24285695
3,1,3,13.27460485
3,2,0,13.29478065
4,1,4,13.30511775
4,0,0,13.3612291
5,2,1,13.47861485
6,2,2,13.486593599999999
7,2,3,13.50564275
8,0,1,13.54883515
8,2,4,13.543808049999999
9,0,2,13.55768115
10,1,5,13.5819756
10,0,3,13.57168995
10,2,5,13.5924062
11,1,6,13.61912695
11,0,4,13.60679075
11,2,6,13.6231103
12,1,7,13.666336900000001
12,0,5,13.6480624
12,2,7,13.6662601
13,1,8,13.70188675
13,0,6,13.67990135
13,2,8,13.7021394
14,1,9,13.73595255
14,0,7,13.7136171
14,2,9,13.7360966
15,0,8,13.7450996
15,2,10,13.77618125
16,1,10,13.77723
16,0,9,13.776706149999999
17,1,11,13.82392605
17,0,10,13.809252149999999
17,2,11,13.825062500000001
18,1,12,13.8583489
18,0,11,13.8406549
18,2,12,13.858639
19,1,13,13.8929087
19,0,12,13.87276905
19,2,13,13.89307355
20,1,14,13.9341465
20,0,13,13.904988
20,2,14,13.934234700000001
21,1,15,13.982875750000002
21,0,14,13.940633850000001
22,0,15,13.9832876
22,2,15,13.98338955
23,1,16,14.0296722
23,0,16,14.0307666
23,2,16,14.030987
24,1,17,14.07902045
24,0,17,14.0787811
24,2,17,14.07918765
25,1,18,14.1250708
25,0,18,14.12578495
25,2,18,14.1257225
26,1,19,14.1741074
26,0,19,14.17333775
26,2,19,14.1740816
27,1,20,14.2216792
27,0,20,14.2218539
27,2,20,14.2212404
28,1,21,14.26936835
28,0,21,14.269064100000001
28,2,21,14.2688937
29,1,22,14.31708785
29,0,22,14.3173478
29,2,22,14.31719745
30,1,23,14.363003599999999
30,0,23,14.361920099999999
30,2,23,14.36212695
31,1,24,14.40907205
31,0,24,14.41036645
31,2,24,14.41029025
32,1,25,14.457173300000001
32,0,25,14.4559393
32,2,25,14.45811715
33,1,26,14.5058911
33,0,26,14.50532605
33,2,26,14.50591795
34,1,27,14.5541363
34,0,27,14.55189075
34,2,27,14.5540065
35,1,28,14.601775100000001
35,0,28,14.60168465
35,2,28,14.60151355
36,1,29,14.64740265
36,0,29,14.647772400000001
36,2,29,14.646320150000001
37,1,30,14.6938623
37,0,30,14.695215699999999
37,2,30,14.69503405
38,1,31,14.74235805
38,0,31,14.7417304
38,2,31,14.742105500000001
39,1,32,14.7905318
39,0,32,14.79093795
39,2,32,14.79096255
40,1,33,14.83715715
40,0,33,14.83784115
40,2,33,14.838004649999998
41,1,34,14.88578935
41,0,34,14.88601485
41,2,34,14.8861843
42,1,35,14.933470849999999
42,0,35,14.93324175
42,2,35,14.93365055
43,1,36,14.988710600000001
43,0,36,14.98139845
43,2,36,14.98132185
44,1,37,15.0217969
44,0,37,15.0148333
44,2,37,15.01391205
45,1,38,15.0605413
45,0,38,15.06003575
45,2,38,15.0601994
46,1,39,15.107346549999999
46,0,39,15.1071109
46,2,39,15.10734055
47,1,40,15.1552648
47,0,40,15.15468985
47,2,40,15.15445855
48,1,41,15.2016752
48,0,41,15.201408650000001
48,2,41,15.2018173
49,1,42,15.2492775
49,0,42,15.2486709
49,2,42,15.24885645
50,1,43,15.294251
50,0,43,15.2940992
50,2,43,15.2947332
51,1,44,15.34194485
51,0,44,15.341586249999999
51,2,44,15.341973549999999
52,1,45,15.3931072
52,0,45,15.3898586
52,2,45,15.389803350000001
53,1,46,15.4256913
53,0,46,15.42288175
53,2,46,15.4229728
54,1,47,15.46958165
54,0,47,15.4691921
54,2,47,15.469592500000001
55,1,48,15.51686385
55,0,48,15.51713855
55,2,48,15.5170876
56,1,49,15.56365795
56,0,49,15.5634153
56,2,49,15.563818399999999
57,1,50,15.610766850000001
57,0,50,15.61120005
